municipio_ibge;agencias;cod_ibge;postos
2101202;6;210120;1
2101400;9;210140;2
2101608;4;210160;1
2101707;4;210170;NA
2101905;1;210190;NA
2102002;1;210200;NA
2102101;2;210210;NA
2102200;1;210220;NA
2102309;1;210230;NA
2102325;2;210232;NA
2102556;1;210255;NA
2102606;1;210260;NA
2102705;1;210270;NA
2102804;3;210280;NA
2102903;2;210290;NA
2103000;6;210300;1
2103208;4;210320;1
2103307;4;210330;1
2103406;1;210340;NA
2103505;3;210350;1
2103604;3;210360;1
2103703;2;210370;NA
2103802;2;210380;NA
2103901;1;210390;NA
2104008;1;210400;NA
2104057;4;210405;1
2104099;1;210409;1
2104107;2;210410;NA
2104206;1;210420;NA
2104677;2;210467;NA
2104800;4;210480;NA
2105104;1;210510;NA
2105302;16;210530;3
2105401;3;210540;1
2105427;1;210542;1
2105500;1;210550;NA
2105708;2;210570;NA
2105906;1;210590;NA
2106102;1;210610;NA
2106326;1;210632;NA
2106409;1;210640;NA
2106508;1;210650;NA
2107506;4;210750;NA
2107803;1;210780;NA
2108108;1;210810;NA
2108207;4;210820;1
2108306;1;210830;NA
2108504;1;210850;NA
2108603;6;210860;1
2108900;1;210890;NA
2109007;3;210900;1
2109106;4;210910;1
2109502;1;210950;NA
2109601;3;210960;NA
2109809;2;210980;NA
2109908;7;210990;1
2110005;4;211000;1
2110039;2;211003;NA
2110104;1;211010;NA
2110203;1;211020;NA
2110401;1;211040;NA
2110500;2;211050;NA
2110609;2;211060;NA
2110708;1;211070;1
2111052;1;211105;NA
2111102;4;211110;NA
2111201;5;211120;1
2111300;75;211130;13
2111508;2;211150;1
2111607;1;211160;NA
2112001;1;211200;NA
2112209;4;211220;3
2112308;1;211230;1
2112407;1;211240;NA
2112506;3;211250;1
2112605;1;211260;NA
2112704;2;211270;NA
2112803;4;211280;NA
2112902;2;211290;NA
2113009;2;211300;NA
2114007;4;211400;NA
2200202;3;220020;NA
2200400;3;220040;NA
2200509;1;220050;NA
2201200;3;220120;NA
2201507;1;220150;NA
2201903;4;220190;1
2202000;1;220200;NA
2202208;4;220220;NA
2202307;3;220230;NA
2202703;1;220270;NA
2202901;4;220290;NA
2203206;1;220320;NA
2203503;1;220350;NA
2203701;4;220370;NA
2203909;5;220390;2
2204303;1;220430;NA
2204402;1;220440;NA
2204501;1;220450;NA
2205102;1;220510;NA
2205508;2;220550;NA
2205706;2;220570;NA
2205805;1;220580;NA
2206209;1;220620;NA
2207009;4;220700;NA
2207702;8;220770;2
2207801;4;220780;NA
2207900;3;220790;NA
2208007;7;220800;2
2208304;3;220830;NA
2208403;4;220840;NA
2208809;1;220880;NA
2208908;1;220890;NA
2210003;4;221000;NA
2210508;1;221050;NA
2210607;4;221060;NA
2210805;1;221080;NA
2211001;48;221100;4
2211100;4;221110;NA
2211209;4;221120;NA
2211308;4;221130;NA
2300200;4;230020;NA
2300309;4;230030;NA
2300754;2;230075;NA
2301000;3;230100;NA
2301109;5;230110;1
2301208;1;230120;NA
2301604;2;230160;NA
2301703;1;230170;NA
2301851;1;230185;NA
2301901;5;230190;2
2302008;1;230200;NA
2302107;4;230210;NA
2302206;2;230220;NA
2302305;1;230230;NA
2302404;3;230240;NA
2302503;3;230250;1
2302602;3;230260;NA
2302701;3;230270;NA
2302800;4;230280;NA
2303204;1;230320;NA
2303501;4;230350;NA
2303709;9;230370;2
2303808;1;230380;NA
2304103;5;230410;1
2304202;6;230420;3
2304285;5;230428;2
2304350;1;230435;NA
2304400;148;230440;14
2304707;2;230470;NA
2305001;2;230500;NA
2305209;1;230520;NA
2305233;4;230523;NA
2305308;1;230530;NA
2305357;1;230535;NA
2305407;3;230540;NA
2305506;6;230550;1
2305803;2;230580;NA
2305902;2;230590;NA
2306256;1;230625;NA
2306306;4;230630;NA
2306405;6;230640;2
2306553;1;230655;NA
2306900;4;230690;NA
2307007;2;230700;NA
2307106;1;230710;NA
2307254;1;230725;NA
2307304;11;230730;4
2307403;1;230740;NA
2307502;2;230750;NA
2307601;4;230760;1
2307650;10;230765;NA
2307700;4;230770;1
2307809;2;230780;NA
2308005;2;230800;NA
2308104;2;230810;NA
2308500;3;230850;NA
2308708;3;230870;1
2309300;3;230930;NA
2309409;1;230940;NA
2309607;5;230960;NA
2309706;3;230970;NA
2310209;2;231020;NA
2310258;1;231025;NA
2310308;1;231030;NA
2310704;2;231070;NA
2311306;6;231130;2
2311405;4;231140;1
2311504;1;231150;NA
2311603;3;231160;NA
2311801;4;231180;1
2312007;1;231200;NA
2312106;1;231210;NA
2312205;4;231220;NA
2312304;4;231230;NA
2312403;3;231240;NA
2312700;2;231270;NA
2312908;10;231290;3
2313005;1;231300;NA
2313104;2;231310;NA
2313203;2;231320;NA
2313302;4;231330;1
2313401;5;231340;NA
2313500;3;231350;NA
2313609;1;231360;NA
2313807;1;231380;NA
2314003;3;231400;NA
2314102;3;231410;NA
2400208;4;240020;1
2400505;1;240050;NA
2400703;1;240070;NA
2400802;2;240080;NA
2401008;3;240100;1
2401107;2;240110;NA
2401305;1;240130;NA
2401453;1;240145;NA
2402006;5;240200;1
2402204;2;240220;NA
2402303;1;240230;NA
2402600;4;240260;NA
2403103;4;240310;1
2403251;7;240325;2
2403608;1;240360;NA
2404200;4;240420;NA
2404507;1;240450;NA
2405702;1;240570;NA
2405801;4;240580;NA
2406106;1;240610;NA
2406700;1;240670;NA
2407104;4;240710;1
2407203;4;240720;NA
2407807;2;240780;NA
2408003;13;240800;4
2408102;59;240810;13
2408300;3;240830;NA
2408904;1;240890;NA
2409308;1;240930;NA
2409407;4;240940;1
2411205;4;241120;1
2411502;3;241150;NA
2412005;7;241200;1
2412203;3;241220;NA
2412500;2;241250;NA
2412609;1;241260;NA
2414407;2;241440;NA
2414506;2;241450;NA
2500304;2;250030;NA
2500403;1;250040;NA
2500601;1;250060;NA
2500700;1;250070;1
2501104;2;250110;NA
2501500;2;250150;1
2501807;4;250180;NA
2501906;1;250190;NA
2502805;1;250280;NA
2503209;5;250320;1
2503704;6;250370;2
2504009;19;250400;12
2504306;4;250430;1
2504405;1;250440;NA
2505105;2;250510;NA
2506004;3;250600;1
2506301;5;250630;1
2506905;2;250690;1
2507002;4;250700;NA
2507507;75;250750;19
2508901;4;250890;1
2509701;4;250970;2
